电影名称,评分,类型,制片国家/地区,时间,票房
非常幸运,4.6,喜剧 / 爱情,中国大陆/中国香港,2013年9月17日,1.345亿
逃出生天,6.7,剧情 / 灾难,中国香港/中国大陆,2013年9月30日,1.2944亿
喜羊羊与灰太狼之喜气羊羊过蛇年,6.7,喜剧 / 动画 / 家庭 / 冒险,中国大陆,2013年1月24日,1.2177亿
天台爱情,6.7,喜剧 / 动作 / 爱情 / 歌舞,中国大陆/中国香港/中国台湾,2013年7月11日,1.1784亿
激战 激戰,7.9,剧情 / 动作 / 运动,中国香港/中国大陆,2013年8月16日,1.1426亿
极速蜗牛 Turbo,7.4,喜剧 / 动画 / 冒险,美国,2013年9月18日,1.1108亿
大明猩 미스터 고,5.5,剧情 / 喜剧 / 运动,中国大陆/韩国,2013年7月18日,1.1086亿
生化危机5：惩罚 Resident Evil: Retribution,6.4,动作 / 科幻 / 恐怖,德国/加拿大/美国/法国,2013年3月17日,1.0817亿
侠探杰克 Jack Reacher,6.4,动作 / 惊悚 / 犯罪,美国,2013年2月16日,9477万
我想和你好好的,6.0,剧情 / 爱情,中国大陆,2013年10月12日,8392万
了不起的盖茨比 The Great Gatsby,8.0,剧情 / 爱情,澳大利亚/美国,2013年8月30日,8222万
笔仙Ⅱ,3.9,悬疑 / 惊悚,中国大陆,2013年7月16日,8116万
独行侠 The Lone Ranger,7.1,动作 / 西部 / 冒险,美国,2013年10月5日,7926万
赛尔号大电影3之战神联盟,5.9,动画 / 儿童 / 冒险,中国大陆,2013年7月12日,7552万
逆世界 Upside Down,6.4,剧情 / 爱情 / 科幻 / 奇幻,加拿大/法国,2013年3月7日,7283万
精灵旅社 Hotel Transylvania,8.1,喜剧 / 动画 / 奇幻,美国,2013年11月1日,7274万
我爱灰太狼2,3.9,喜剧 / 动画,中国大陆,2013年8月1日,7251万
斯大林格勒 Сталинград,6.3,动作 / 战争,俄罗斯,2013年10月31日,7069万
笑功震武林,4.7,喜剧 / 动作,中国大陆/中国香港,2013年3月8日,6824万
摩登年代,5.7,剧情 / 喜剧,中国大陆,2013年8月23日,6758万
洛克王国2：圣龙的心愿,6.5,动画 / 奇幻 / 冒险,中国大陆,2013年1月31日,6556万
悲惨世界 Les Misérables,8.7,剧情 / 爱情 / 歌舞,英国/美国,2013年2月28日,6214万
忠烈杨家将,6.2,战争 / 古装,中国大陆/中国香港,2013年4月4日,6063万
百星酒店,5.7,喜剧 / 爱情,中国大陆/中国香港,2013年2月1日,5548万
赤焰战场2 Red 2,7.2,喜剧 / 动作 / 犯罪,美国/法国/加拿大,2013年11月15日,5498万
潜艇总动员3：彩虹宝藏,4.3,动画 / 儿童,中国大陆,2013年5月31日,5465万
海啸奇迹 Lo imposible,7.8,剧情 / 灾难 / 家庭,西班牙/泰国/美国,2013年8月29日,5379万
宫锁沉香,5.4,剧情 / 爱情 / 古装,中国大陆,2013年8月13日,5363万
巨人捕手杰克 Jack the Giant Slayer,6.3,剧情 / 奇幻 / 冒险,美国,2013年3月25日,5309万
致命黑兰 Colombiana,7.1,剧情 / 动作 / 惊悚 / 犯罪,法国,2013年6月7日,4972万
森林战士 Epic,7.4,动画 / 奇幻 / 冒险,美国,2013年11月29日,4916万
背水一战 The Last Stand,6.9,喜剧 / 动作 / 犯罪,美国,2013年10月24日,4892万
劫案迷云 Stolen,6.1,剧情 / 动作 / 惊悚 / 犯罪,美国,2013年3月1日,4336万
控制,5.8,动作 / 科幻 / 犯罪 / 悬疑,中国香港/中国大陆,2013年11月22日,4312万
神奇,2.9,剧情 / 爱情 / 运动,中国大陆,2013年9月30日,4280万
辛巴达历险记2013,5.0,动画 / 冒险,中国大陆,2013年5月31日,3751万
开心超人,8.3,动画 / 冒险,中国大陆,2013年6月28日,3345万
在一起,3.7,爱情,中国香港/中国大陆,2013年2月12日,3145万
青春派,7.4,剧情 / 爱情,中国大陆,2013年8月2日,3078万
白狐,3.5,动作 / 爱情 / 奇幻 / 古装,中国大陆,2013年9月28日,3047万
我爱的是你爱我,5.4,剧情 / 爱情,中国大陆,2013年11月8日,2940万
越来越好之村晚,4.3,喜剧 / 爱情,中国大陆,2013年2月10日,2827万
特警判官 Dredd,6.5,动作 / 科幻 / 惊悚 / 犯罪,英国/美国/印度/南非,2013年3月1日,2784万
超级经纪人 超級經理人,4.9,喜剧,中国香港/中国大陆,2013年9月6日,2732万
魁拔之大战元泱界,8.2,动作 / 动画 / 奇幻 / 冒险,中国大陆,2013年5月31日,2440万
枕边有张脸,3.8,悬疑 / 惊悚,中国大陆,2013年6月14日,2328万
意外的恋爱时光,5.6,喜剧 / 爱情,中国大陆,2013年11月8日,2288万
一场风花雪月的事,4.5,动作 / 爱情 / 犯罪,中国大陆,2013年8月8日,2253万
同谋 同謀,5.1,剧情 / 悬疑 / 犯罪,中国香港/中国大陆,2013年4月27日,2223万
圣诞玫瑰,6.1,剧情 / 悬疑 / 犯罪,中国大陆/中国香港,2013年5月24日,2087万
电梯惊魂,3.6,悬疑 / 惊悚,中国大陆,2013年2月22日,2078万
5月天诺亚方舟,8.5,剧情 / 纪录片 / 音乐,中国台湾,2013年9月19日,1995万
81号农场之保卫麦咭,5.2,喜剧 / 动画 / 家庭,中国大陆,2013年9月28日,1889万
诡婴吉咪 詭嬰,3.7,惊悚,中国大陆,2013年10月31日,1748万
穿越火线 Август. Восьмого,6.8,剧情 / 动作 / 战争 / 科幻,俄罗斯,2013年9月13日,1688万
被解救的姜戈 Django Unchained,8.8,剧情 / 动作 / 西部 / 冒险,美国,2013年5月12日,1648万
孤岛惊魂2,2.9,悬疑 / 惊悚 / 恐怖,中国大陆,2013年1月26日,1603万
昆塔：盒子总动员,6.2,喜剧 / 动画 / 冒险,中国大陆,2013年8月2日,1414万
201314,4.3,爱情,中国大陆,2013年1月1日,1293万
制服,5.1,犯罪,中国大陆,2013年10月29日,1275万
赤警威龙 Bullet to the Head,5.9,动作 / 犯罪 / 惊悚,美国,2013年7月9日,1255万
金刚王：死亡救赎,5.5,剧情 / 动作,中国大陆,2013年9月24日,1238万
萨米大冒险2 Sammy&#39;s avonturen 2,6.7,动画 / 冒险,比利时/美国/法国,2013年6月28日,1213万
爱神,6.6,喜剧 / 爱情,中国大陆,2013年3月8日,1191万
王牌情敌 2013我愛HK恭囍發財,5.6,喜剧 / 爱情,中国香港,2013年6月4日,1142万
回到爱开始的地方,6.4,剧情 / 爱情,中国大陆/中国台湾,2013年8月23日,1096万
波鲁鲁冰雪大冒险,6.5,动画 / 家庭 / 儿童 / 冒险,韩国/中国大陆,2013年1月25日,1084万
一路顺疯,5.2,喜剧,中国大陆,2013年9月29日,1072万
叶问：终极一战 葉問：終極一戰,6.2,剧情 / 动作 / 传记,中国大陆/中国香港,2013年3月22日,1062万
女蛹,6.6,爱情 / 悬疑 / 惊悚,中国大陆,2013年2月1日,1050万
杀戒,5.4,爱情 / 悬疑,中国大陆,2013年6月9日,930万
绿林大冒险,6.1,动画 / 奇幻 / 冒险,中国大陆,2013年1月19日,804万
夺命追踪 Gone,6.0,剧情 / 悬疑 / 惊悚,美国,2013年1月25日,791万
愤怒的小孩,6.3,喜剧 / 儿童,中国大陆,2013年1月29日,776万
逆光飞翔 逆光飛翔,8.2,剧情 / 爱情,中国台湾,2013年6月8日,772万
奥林匹斯的陷落 Olympus Has Fallen,6.5,动作 / 犯罪,美国,2013年12月29日,3943万
双雄 Welcome to the Punch,5.9,动作 / 犯罪 / 惊悚 / 冒险,英国/美国,2013年12月6日,753万
我的男男男男朋友,3.7,喜剧 / 爱情,中国大陆,2013年11月15日,745万
临终囧事,5.5,喜剧 / 恐怖,中国大陆,2013年5月16日,739万
咒·丝,4.6,惊悚,中国大陆,2013年7月5日,708万
一座城池,5.4,剧情 / 喜剧,中国大陆,"2013年9月18日，截至9月29日累计票房675万元。
      </blockquote>
    </div>

    <div class=""actions"">
      <time class=""time"">2014-01-02 23:09:27</time>
        <a href=""javascript: void 0;"" class=""btn btn-like j a_show_login"" data-action-type=""like"">赞</a>

      <a href=""javascript: void 0;"" class=""btn btn-action-reply"" data-action-type=""showComments"" data-count=""0"">回复</a>

    </div>

    <div class=""others"">
      <div class=""comments"">
        <div class=""comments-items""></div>
        <a href=""javascript:void(0);"" class=""btn"" data-action-type=""showComments"" style=""display: none;"">加载更多</a>
          <span class=""pl"" align=""right""><a class=""j a_show_login"" href=""https://www.douban.com/accounts/register?reason=comment"">&gt; 我来回复</a></span>
      </div>
    </div>
  </div>

  

  

    </div>
  </div>

          
  <div id=""item10941105"" class=""doulist-item"" >
    <div class=""mod"">
      
  <div class=""hd"">
  </div>

      
  
  

  <div class=""bd doulist-subject"">
      
        <div class=""doulist-video-items"">
          <span class=""title"">播放全片</span>
            
            <a class=""doulist-video-item"" target=""_blank"" href=""https://m.miguvideo.com/mgs/msite/prd/detail.html?cid=638988486&amp;pwId=d01197d3076b4164af82983c408bb996""><span class=""icon-circle""><img src=""https://img1.doubanio.com/f/movie/d3e1f41e6a89962d1a2860dabb04b2d4e0c8df89/pics/movie/video-miguvideo.png"" /></span> 咪咕视频</a>

            
            <a class=""doulist-video-item"" target=""_blank"" href=""http://v.qq.com/x/cover/tle1o58u3mucjhn.html?ptag=douban.movie""><span class=""icon-circle""><img src=""https://img1.doubanio.com/f/movie/0a74f4379607fa731489d7f34daa545df9481fa0/pics/movie/video-qq.png"" /></span> 腾讯视频</a>

            
            <a class=""doulist-video-item"" target=""_blank"" href=""http://www.mgtv.com/b/11363/1097752.html?cxid=vb4rv4jhk""><span class=""icon-circle""><img src=""https://img1.doubanio.com/f/movie/83fb8b3d6bf053125660308a9ecbf91087434263/pics/movie/video-mgtv.png"" /></span> 芒果TV</a>

            <a href=""javascript:;"" class=""more-video-item""><img src=""https://img1.doubanio.com/f/sns/e2ebb96e1a69c9d9ab686fdf1fda829f43aa1116/pics/sns/ic_circle_more@2x.png"" /> 更多</a>
            <div class=""video-items-other"">
                
                <a target=""_blank"" href=""https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rr7rcai8.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video""><span class=""icon-circle""><img src=""https://img1.doubanio.com/f/movie/7c9e516e02c6fe445b6559c0dd2a705e8b17d1c9/pics/movie/video-iqiyi.png"" /></span> 爱奇艺视频</a>
            </div>
        </div>

    




    <div class=""source"">
      来自：豆瓣电影
    </div>
    
    <div class=""post"">
      <a href=""https://movie.douban.com/subject/11604102/"" target=""_blank"">
        <img src=""https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1832197925.jpg""/>
      </a>
    </div>
    <div class=""title"">
      <a href=""https://movie.douban.com/subject/11604102/"" target=""_blank"">
          <img style=""width: 16px; vertical-align: text-top;"" src=""https://img1.doubanio.com/f/sns/5741f726dfb46d89eb500ed038833582c9c9dcdb/pics/sns/doulist/ic_play_web@2x.png""/>
        暗恋99天 等我愛你
      </a>
    </div>
    
      <div class=""rating"">
          <span class=""allstar30""></span>
          <span class=""rating_nums"">5.7</span>
          <span>(9800人评价)</span>
      </div>
    <div class=""abstract"">
      
          导演: 火火
            <br />
          主演: 黄宗泽 / 邓丽欣 / 森美
            <br />
          类型: 喜剧 / 爱情
            <br />
          制片国家/地区: 中国香港
            <br />
          年份: 2012
    </div>
  </div>
  


        
  
  <div class=""ft"">
    <div class=""comment-item content"" data-cid=""10941105"">
      <blockquote class=""comment"">
        <span>评语：</span>【国产/合拍】2013年1月11日",658万
猎仇者,4.2,悬疑 / 惊悚 / 犯罪,中国大陆/中国香港,2013年11月1日,566万
圣龙奇兵大冒险,5.5,动画 / 冒险 / 武侠,中国大陆,2013年6月10日,563万
青蛙王国,6.6,动画 / 冒险,中国大陆,2013年12月28日,1712万
金太狼的幸福生活,6.3,喜剧,中国大陆,2013年4月12日,539万
一路狂奔,3.2,喜剧,中国大陆,2013年5月24日,526万
爱情银行,6.0,剧情 / 爱情,中国大陆,2013年3月14日,513万
午夜微博,3.4,悬疑 / 惊悚 / 恐怖,中国大陆,2013年3月1日,508万
疯狂的导演,3.1,喜剧,中国大陆,2013年8月30日,493万
变形金刚4：绝迹重生 Transformers: Age of Extinction,6.7,动作 / 科幻,美国/中国大陆/中国香港,2014年6月27日,19.6495亿
心花路放,7.2,喜剧 / 爱情,中国大陆,2014年9月30日,11.4911亿
西游记之大闹天宫,4.3,动作 / 奇幻,中国大陆/中国香港,2014年1月31日,10.2893亿
智取威虎山,7.7,剧情 / 动作 / 战争 / 冒险,中国大陆/中国香港,2014年12月23日,8.8314亿
星际穿越 Interstellar,9.4,剧情 / 科幻 / 冒险,美国/英国/加拿大,2014年11月12日,7.4799亿
X战警：逆转未来 X-Men: Days of Future Past,8.2,剧情 / 动作 / 科幻 / 冒险,美国/英国,2014年5月23日,7.186亿
美国队长2 Captain America: The Winter Soldier,8.0,动作 / 科幻 / 冒险,美国,2014年4月4日,7.1249亿
猩球崛起2：黎明之战 Dawn of the Planet of the Apes,7.7,剧情 / 动作 / 科幻,美国,2014年8月29日,7.1154亿
爸爸去哪儿,5.8,儿童 / 喜剧 / 家庭,中国大陆,2014年1月31日,6.8579亿
分手大师,5.1,喜剧 / 爱情,中国大陆,2014年6月27日,6.5608亿
后会无期,7.2,剧情,中国大陆,2014年7月24日,6.2299亿
匆匆那年,5.6,爱情,中国大陆,2014年12月5日,6.032亿
银河护卫队 Guardians of the Galaxy,8.1,动作 / 科幻 / 冒险,美国/英国,2014年10月10日,5.9033亿
超凡蜘蛛侠2 The Amazing Spider-Man 2,7.7,动作 / 科幻 / 奇幻 / 冒险,美国,2014年5月4日,5.8247亿
澳门风云 賭城風雲,5.8,喜剧 / 动作,中国大陆/中国香港,2014年1月31日,5.1846亿
一步之遥,6.6,剧情 / 喜剧 / 动作,中国大陆/美国/中国香港,2014年12月18日,5.1075亿
小时代3：刺金时代,4.7,剧情 / 喜剧 / 爱情,中国大陆/中国台湾,2014年7月17日,5.0713亿
哥斯拉 Godzilla,6.6,动作 / 科幻 / 冒险 / 灾难,美国/日本,2014年6月13日,4.7764亿
霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug,8.5,动作 / 奇幻 / 冒险,美国/新西兰,2014年2月21日,4.5809亿
敢死队3 The Expendables 3,6.9,动作 / 惊悚 / 冒险,美国/法国,2014年9月1日,4.5353亿
同桌的妳,6.0,剧情 / 爱情,中国大陆,2014年4月25日,4.5026亿
驯龙高手2 How to Train Your Dragon 2,8.1,动画 / 奇幻 / 冒险,美国,2014年8月14日,4.0122亿
极品飞车 Need for Speed,7.3,剧情 / 动作 / 犯罪 / 惊悚,美国/菲律宾/爱尔兰/英国,2014年3月14日,4.0881亿
明日边缘 Edge of Tomorrow,8.2,动作 / 科幻,美国/加拿大,2014年6月6日,4.04亿
京城81号,4.8,剧情 / 悬疑 / 恐怖,中国大陆,2014年7月18日,4.0194亿
北京爱情故事,6.1,爱情,中国大陆,2014年2月13日,4.0028万
忍者神龟：变种时代 Teenage Mutant Ninja Turtles,6.6,喜剧 / 动作 / 科幻 / 冒险,美国,2014年10月31日,3.8518亿
白发魔女传之明月天国,3.8,动作 / 爱情 / 奇幻 / 武侠 / 古装,中国大陆/中国香港,2014年7月31日,3.8492亿
亲爱的,8.4,剧情 / 家庭,中国大陆/中国香港,2014年9月25日,3.3854亿
神偷奶爸2 Despicable Me 2,8.1,喜剧 / 动画 / 冒险,美国/法国/日本,2014年1月10日,3.2117亿
机械战警 RoboCop,6.4,动作 / 科幻 / 犯罪,美国,2014年2月28日,3.1153亿
窃听风云3,6.4,动作 / 犯罪 / 悬疑 / 惊悚,中国香港/中国大陆,2014年5月29日,3.0627亿
冰雪奇缘 Frozen,8.4,喜剧 / 动画 / 奇幻 / 歌舞,美国,2014年2月5日,2.9573亿
沉睡魔咒 Maleficent,7.4,奇幻 / 冒险,美国/英国,2014年6月20日,2.938亿
微爱之渐入佳境,4.5,喜剧 / 爱情,中国大陆,2014年12月24日,2.8498亿
归来,8.0,剧情 / 历史 / 爱情,中国大陆,2014年5月16日,2.8374亿
超体 Lucy,7.4,动作 / 科幻,法国/德国/中国台湾/加拿大/美国/英国,2014年10月24日,2.7507亿
催眠大师,7.6,悬疑 / 惊悚,中国大陆,2014年29日,"2,7186亿"
马达加斯加的企鹅 Penguins of Madagascar,7.7,喜剧 / 动画 / 冒险,美国,2014年11月14日,2.5024亿
里约大冒险2 Rio 2,7.7,喜剧 / 动画 / 冒险,美国,2014年4月11日,2.4288亿
熊出没之夺宝熊兵,7.8,喜剧 / 动画 / 冒险 / 家庭,中国大陆,2014年1月17日,2.4195亿
一生一世,5.3,爱情,中国大陆/中国香港,2014年9月5日,2.2815亿
撒娇女人最好命,5.7,喜剧 / 爱情,中国大陆/中国香港,2014年11月28日,2.2511亿
太平轮(上),6.0,剧情 / 爱情 / 战争,中国大陆/中国香港,2014年12月2日,2.0571亿
闺蜜,5.3,喜剧 / 爱情,中国大陆,2014年7月30日,2.0245亿
老男孩猛龙过江,5.7,剧情 / 喜剧,中国大陆,2014年7月10日,2.0215亿
痞子英雄2：黎明升起 痞子英雄2：黎明再起,5.6,剧情 / 动作 / 犯罪,中国大陆/中国台湾/中国香港,2014年10月1日,1.9739亿
单身男女2 單身男女II,5.5,喜剧 / 爱情,中国香港/中国大陆,2014年11月11日,1.9615亿
四大名捕大结局,5.2,动作 / 爱情 / 悬疑 / 武侠 / 古装,中国大陆/中国香港,2014年8月22日,1.9187亿
暴力街区 Brick Mansions,7.1,剧情 / 动作 / 犯罪,法国/加拿大/美国/西班牙,2014年8月1日,1.8619亿
黄飞鸿之英雄有梦,5.7,剧情 / 动作 / 爱情 / 武侠,中国大陆/中国香港/英国,2014年11月21日,1.807亿
我的早更女友,5.5,喜剧 / 爱情,中国大陆,2014年12月12日,1.624亿
一触即发 Jack Ryan: Shadow Recruit,5.7,剧情 / 动作 / 惊悚,美国/俄罗斯,2014年1月17日,1.5891亿
移动迷宫 The Maze Runner,7.1,动作 / 科幻 / 冒险,美国/英国,2014年10月28日,1.4849亿
冰封：重生之门,4.0,喜剧 / 动作 / 奇幻,中国大陆,2014年4月25日,1.4052亿
安德的游戏 Ender&#39;s Game,7.1,动作 / 科幻 / 冒险,美国,2014年1月7日,1.3769亿
超验骇客 Transcendence,6.6,动作 / 爱情 / 科幻,美国/中国大陆/英国,2014年4月18日,1.2497亿
前任攻略,6.1,喜剧 / 爱情,中国大陆,2014年1月31日,1.1841万
天才眼镜狗 Mr. Peabody &amp; Sherman,7.6,喜剧 / 科幻 / 动画 / 冒险,美国,2014年3月28日,1.1817亿
狂怒 Fury,8.0,剧情 / 动作 / 战争,美国/中国大陆/英国,2014年11月21日,1.176亿
一个人的武林,6.6,动作 / 惊悚,中国大陆/中国香港,2014年10月31日,1.1603亿
不惧风暴 Into the Storm,6.7,动作 / 灾难,美国,2014年9月12日,1.0981亿
魔警,6.1,动作 / 犯罪 / 悬疑 / 惊悚,中国香港/中国大陆,2014年4月18日,1.074亿
空中营救 Non-Stop,7.6,动作 / 悬疑 / 惊悚 / 灾难,英国/法国/美国,2014年9月19日,1.0418亿
白日焰火,7.6,剧情 / 犯罪 / 悬疑,中国大陆,2014年3月21日,1.0157亿
临时同居 失戀急讓,5.1,喜剧 / 爱情,中国香港/中国大陆,2014年8月21日,1.0084亿
庞贝末日 Pompeii,6.2,动作 / 爱情 / 冒险 / 灾难,加拿大/德国/美国,2014年8月15日,9648万
反贪风暴 Z風暴,6.2,剧情 / 动作 / 犯罪,中国香港/中国大陆,2014年8月16日,9446万
绣春刀,7.7,剧情 / 动作 / 武侠 / 古装,中国大陆,2014年8月7日,9267万
喜羊羊与灰太狼之飞马奇遇记,6.3,喜剧 / 动画 / 奇幻 / 冒险 / 家庭,中国大陆,2014年1月16日,8342万
整容日记,4.7,喜剧 / 爱情,中国大陆/中国香港,2014年4月4日,8301万
宙斯之子：赫拉克勒斯 Hercules,6.1,动作 / 奇幻 / 冒险,美国/匈牙利,2014年10月21日,8148万
六福喜事,5.3,喜剧 / 爱情,中国大陆/中国香港,2014年1月11日,7903万
分歧者：异类觉醒 Divergent,6.6,动作 / 科幻 / 冒险,美国,2014年9月8日,7660万
触不可及,5.6,爱情 / 战争,中国大陆,2014年9月19日,7600万
救火英雄,7.3,动作 / 灾难,中国香港/中国大陆,2014年1月3日,7274万
英雄之战,3.1,动作 / 爱情,中国大陆,2014年3月21日,7216万
雪国列车 설국열차,7.6,剧情 / 动作 / 科幻,韩国/捷克,2014年3月17日,6807万
露水红颜,5.0,爱情,中国大陆,2014年11月7日,6428万
盗马记 盜馬記,5.0,喜剧 / 动作 / 爱情 / 悬疑,中国大陆/中国香港,2014年3月21日,6150万
神秘世界历险记2,6.6,动画 / 冒险 / 家庭,中国大陆,2014年8月8日,6120万
赛尔号大电影4：圣魔之战,5.9,剧情 / 儿童 / 动画 / 冒险,中国大陆,2014年7月10日,6065万
神笔马良,6.0,动画 / 奇幻,中国大陆,2014年7月25日,5717万
秦时明月之龙腾万里,6.9,动画 / 奇幻 / 冒险 / 武侠,中国大陆,2014年8月8日,5710万
龙之谷：破晓奇兵,7.7,动画 / 奇幻 / 冒险,中国大陆,2014年7月31日,5661万
别惹我 Malavita,7.2,喜剧 / 犯罪 / 惊悚,法国/英国/美国,2014年3月7日,5539万
脱轨时代,6.1,喜剧 / 爱情,中国大陆,2014年3月7日,5409万
火鸡总动员 Free Birds,6.1,喜剧 / 动画 / 冒险,美国,2014年3月7日,4907万
黄金时代,7.4,剧情 / 传记 / 爱情,中国大陆/中国香港,2014年10月1日,4876万
笔仙3,4.3,悬疑 / 惊悚,中国大陆,2014年7月4日,4860万
盟军夺宝队 The Monuments Men,5.5,剧情 / 传记 / 历史 / 战争,美国/德国,2014年3月28日,4669万
潜艇总动员4：章鱼奇遇记,4.4,喜剧 / 动画 / 冒险,中国大陆,2014年5月30日,4563万
冰川时代2：融冰之灾 Ice Age: The Meltdown,8.2,喜剧 / 动画 / 冒险,美国,2014年10月13日,4327万
铠甲勇士之雅塔莱斯,6.9,剧情 / 动作 / 科幻,中国大陆,2014年10月1日,4281万
麦兜·我和我妈妈 麥兜‧我和我媽媽,8.6,喜剧 / 动画 / 家庭,中国香港/中国大陆,2014年10月1日,4212万
猪猪侠之勇闯巨人岛,5.1,喜剧 / 动画 / 冒险,中国大陆,2014年5月31日,4116万
新大头儿子和小头爸爸之秘密计划,5.1,儿童 / 动画 / 家庭,中国大陆,2014年9月26日,4022万
斑马总动员 Khumba,5.8,动画 / 冒险 / 家庭,南非,2014年12月31日,3945万
甜蜜杀机 甜蜜殺機,6.0,喜剧 / 爱情 / 犯罪,中国台湾,2014年3月7日,3656万
全城通缉,4.6,剧情 / 悬疑,中国大陆,2014年11月6日,3441万
笔仙惊魂3,3.4,悬疑 / 惊悚 / 恐怖,中国大陆,2014年4月4日,3403万
绝命航班 Last Flight,3.5,动作 / 惊悚 / 灾难,中国大陆,2014年3月21日,3315万
蜂鸟特攻 Hummingbird,6.5,剧情 / 动作 / 犯罪 / 惊悚,英国/美国,2014年5月9日,3202万
家园防线 Homefront,6.5,动作 / 犯罪 / 惊悚,美国,2014年3月14日,3199万
王牌,4.6,剧情 / 悬疑,中国大陆,2014年12月31日,3129万
天河,5.0,剧情,中国大陆,2014年11月15日,2881万
昆虫总动员 Minuscule: la Vallée des Fourmis Perdues,8.4,动画 / 冒险,法国/比利时,2014年8月22日,2878万
完美假妻168,5.0,喜剧 / 爱情 / 悬疑,中国大陆,2014年3月4日,2848万
考拉大冒险 코알라 키드: 영웅의 탄생,5.5,动画 / 冒险 / 家庭,韩国/美国,2014年5月1日,2838万
圣杯神器：骸骨之城 The Mortal Instruments: City of Bones,5.7,动作 / 奇幻 / 冒险,美国/德国/加拿大,2014年1月3日,2819万
大话天仙,3.4,喜剧 / 奇幻 / 古装,中国大陆/中国香港,2014年2月2日,2805万
疯狂72小时,4.7,喜剧,中国大陆,2014年6月6日,2613万
怨灵人偶,3.1,惊悚 / 恐怖,中国大陆,2014年12月31日,2561万
大力神 The Legend of Hercules,5.0,动作 / 冒险,美国,2014年4月11日,2516万
摩纳哥王妃 Grace of Monaco,6.8,剧情 / 传记 / 爱情,法国/美国/比利时/意大利/瑞士,2014年6月20日,2508万
辛巴达历险记2,4.1,喜剧 / 动画 / 冒险,中国大陆,2014年5月30日,2478万
鸣梁海战 명량,7.2,剧情 / 传记 / 动作 / 战争,韩国,2014年12月12日,2443万
百变爱人 Delete愛人,4.5,喜剧 / 爱情,中国香港/中国大陆,2014年4月11日,2374万
魁拔Ⅲ战神崛起,8.6,动作 / 动画 / 奇幻 / 冒险,中国大陆,2014年10月1日,2350万
极地大冒险2 Niko 2: Lentäjäveljekset,6.1,剧情 / 喜剧 / 动画 / 冒险,芬兰/德国/丹麦/爱尔兰,2014年2月2日,2290万
夜莺 Le Promeneur d&#39;Oiseau,6.5,剧情 / 家庭,中国大陆/法国,2014年10月31日,2109万
谁说我们不会爱,3.6,爱情,中国大陆,2014年2月14日,2099万
食人虫,3.2,科幻 / 惊悚 / 灾难,中国大陆,2014年10月10日,2071万
我在路上最爱你 길 위에서,3.6,剧情 / 爱情,中国大陆/韩国,2014年3月28日,2060万
机器纪元 Autómata,6.3,科幻 / 惊悚,西班牙/保加利亚,2014年11月28日,2042万
魔幻仙踪,4.8,动画 / 奇幻 / 冒险,中国大陆,2014年5月30日,2020万
美国骗局 American Hustle,6.8,剧情 / 犯罪,美国,2014年7月4日,1965万
幻影车神：魔盗激情 Dhoom 3,7.5,动作 / 犯罪 / 惊悚,印度,2014年7月25日,1927万
怨灵,4.0,惊悚 / 恐怖,中国大陆/韩国,2014年11月13日,1831万
81号农场之疯狂的麦咭,4.7,喜剧 / 动画 / 冒险 / 家庭,中国大陆,2014年10月1日,1820万
碟仙诡谭,3.1,惊悚,中国大陆,2014年8月8日,1800万
夺命地铁 Метро,6.8,剧情 / 惊悚 / 灾难,俄罗斯,2014年1月10日,1738万
白雪公主之矮人力量,3.5,喜剧 / 动画 / 奇幻 / 冒险,中国大陆,2014年8月21日,1735万
末日浩劫 Los últimos días,5.8,科幻 / 惊悚 / 冒险 / 灾难,西班牙/法国,2014年12月26日,1636万
美女与野兽 La belle et la bête,6.9,爱情 / 奇幻,法国/德国,2014年9月12日,1626万
床下有人2,2.9,悬疑 / 惊悚,中国大陆,2014年8月22日,1476万
人间·小团圆 香港仔,5.5,剧情,中国香港/中国大陆,2014年5月8日,1414万
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,喜剧 / 爱情 / 奇幻 / 古装,中国香港/中国大陆,2014年10月24日,1404万
过界男女 過界,5.7,剧情 / 爱情,中国香港,2014年2月14日,1403万
男人不可以穷 男人唔可以窮,6.0,剧情 / 喜剧,中国香港/中国大陆,2014年12月24日,1356万
夜半梳头,3.6,悬疑 / 惊悚,中国大陆,2014年6月13日,1309万
我的播音系女友,3.8,喜剧 / 爱情,中国大陆,2014年5月20日,1262万
速度与激情7 Furious 7,8.4,动作 / 犯罪,美国/中国大陆/日本,2015年4月12日,24.2432亿
捉妖记,6.7,喜剧 / 奇幻 / 古装,中国大陆/中国香港,2015年7月16日,23.8211亿
寻龙诀,7.4,剧情 / 动作 / 奇幻 / 冒险,中国大陆/中国香港,2015年12月18日,16.8188亿
港囧,5.7,喜剧,中国大陆,2015年9月25日,16.1163亿
复仇者联盟2：奥创纪元 Avengers: Age of Ultron,7.5,动作 / 科幻 / 奇幻 / 冒险,美国,2015年5月12日,14.6183亿
夏洛特烦恼,7.8,喜剧 / 爱情,中国大陆,2015年9月30日,14.4113亿
侏罗纪世界 Jurassic World,7.7,动作 / 科幻 / 冒险,美国,2015年6月10日,14.197亿
